序号,汉字,拆解,细节说明,初检,拆几个
0883,灾,宀，火,,ok,2
0884,良,良,,ok,1
0885,证,讠，正,,ok,2
0886,启,户，口,,ok,2
0887,评,讠，平,,ok,2
0888,补,衤，卜,,ok,2
0889,初,衤，刀,,ok,2
0890,社,礻，土,,ok,2
0891,祀,礻，巳,,ok,2
0892,识,讠，只,,ok,2
0893,诈,讠，乍,,ok,2
0894,诉,讠，斥,,ok,2
0895,罕,㓁，干,,ok,2
0896,诊,讠，㐱,,ok,2
0897,词,讠，司,,ok,2
0898,译（譯）,讠，睪,,古,2
0899,君,尹，口,,ok,2
0900,灵,彐，火,,ok,2
0901,即,艮b，卩,,变,2
0902,层,尸，云,,ok,2
0903,屁,尸，比,,ok,2
0904,尿,尸，水,,ok,2
0905,尾,尸，毛,,ok,2
0906,迟,尺，辶,,ok,2
0907,局,局,,ok,1
0908,改,己，攵,,ok,2
0909,张,弓，长,,ok,2
0910,忌,己，心,,ok,2
0911,际,阝，示,,ok,2
0912,陆,阝，击,,ok,2
0913,阿,阝，可,,ok,2
0914,陈,阝，东,,ok,2
0915,阻,阝，且,,ok,2
0916,附,阝，付,,ok,2
0917,坠,队，土,,ok,2
0918,妓,女，支,,ok,2
0919,妙,女，少,,ok,2
0920,妖,女，夭,,ok,2
0921,姊,女，𠂔,,ok,2
0922,妨,女，方,,ok,2
0923,妒,女，户,,ok,2
0924,努,奴，力,,ok,2
0925,忍,刃，心,,ok,2
0926,劲（勁）,巠，力,,ok,2
0927,矣,厶，矢,,ok,2
0928,鸡,又，鸟,,ok,2
0929,纬,纟，韦,,ok,2
0930,驱,马，区,,ok,2
0931,纯,纟，屯,,ok,2
0932,纱,纟，少,,ok,2
0933,纲,纟，冈,,ok,2
0934,纳,纟，内,,ok,2
0935,驳,马，爻,,ok,2
0936,纵,纟，从,,ok,2
0937,纷,纟，分,,ok,2
0938,纸,纟，氏,,ok,2
0939,纹,纟，文,,ok,2
0940,纺,纟，方,,ok,2
0941,驴,马，户,,ok,2
0942,纽,纟，丑,,ok,2
0943,奉,奉,,ok,1
0944,玩,王，元,,ok,2
0945,环,王，不,,ok,2
0946,武,戈b，止,,变,2
0947,青,龶，月,,ok,2
0948,责,龶，贝,,ok,2
0949,现,王，见,,ok,2
0950,玫,王，攵,,ok,2
0951,表,表,,ok,1
0952,规,夫，见,,ok,2
0953,抹,扌，末,,ok,2
0954,卦,圭，卜,,ok,2
0955,坷,土，可,,ok,2
0956,坯,土，丕,,ok,2
0957,拓,扌，石,,ok,2
0958,拢,扌，龙,,ok,2
0959,拔,扌，犮,,ok,2
0960,坪,土，平,,ok,2
0961,拣（揀）,扌，柬,,ok,2
0962,坦,土，旦,,ok,2
0963,担,扌，旦,,ok,2
0964,坤,土，申,,ok,2
0965,押,扌，甲,,ok,2
0966,抽,扌，由,,ok,2
0967,拐,扌，另,,ok,2
0968,拖,扌，㐌,,ok,2
0969,者,者,,ok,1
0970,拍,扌，白,,ok,2
0971,顶,丁，页,,ok,2
0972,拆,扌，斥,,ok,2
0973,拎,扌，令,,ok,2
0974,拥,扌，用,,ok,2
0975,抵,扌，氐,,ok,2
0976,拘,扌，句,,ok,2
0977,势,执，力,,ok,2
0978,抱,扌，包,,ok,2
0979,拄,扌，主,,ok,2
0980,垃,土，立,,ok,2
0981,拉,扌，立,,ok,2
0982,拦,扌，兰,,ok,2
0983,幸,幸,,ok,1
0984,拌,扌，半,,ok,2
0985,拧,扌，宁,,ok,2
0986,拂,扌，弗,,ok,2
0987,拙,扌，出,,ok,2
0988,招,扌，召,,ok,2
0989,坡,土，皮,,ok,2
0990,披,扌，皮,,ok,2
0991,拨,扌，发,,ok,2
0992,择（擇）,扌，睪,,古,2
0993,抬,扌，台,,ok,2
0994,拇,扌，母,,ok,2
0995,拗,扌，幼,,ok,2
0996,其,其,,ok,1
0997,取,耳，又,,ok,2
0998,茉,艹，末,,ok,2
0999,苦,艹，古,,ok,2
1000,昔,昔,,ok,1
1001,苛,艹，可,,ok,2
1002,若,艹，右,,ok,2
1003,茂,艹，戊,,ok,2
1004,苹,艹，平,,ok,2
1005,苗,艹，田,,ok,2
1006,英,艹，央,,ok,2
1007,苟,艹，句,,ok,2
1008,苑,艹，夗,,ok,2
1009,苞,艹，包,,ok,2
1010,范,艹，氵，㔾,,ok,3
1011,直,直,,ok,1
1012,茁,艹，出,,ok,2
1013,茄,艹，加,,ok,2
1014,茎,艹，巠,,ok,2
1015,苔,艹，台,,ok,2
1016,茅,艹，矛,,ok,2
1017,枉,木，王,,ok,2
1018,林,木，木,,ok,2
1019,枝,木，支,,ok,2
1020,杯,木，不,,ok,2
1021,枢,木，区,,ok,2
1022,柜,木，巨,,ok,2
1023,枚,木，攵,,ok,2
1024,析,木，斤,,ok,2
1025,板,木，反,,ok,2
1026,松,木，公,,ok,2
1027,枪,木，仓,,ok,2
1028,枫,木，风,,ok,2
1029,构,木，勾,,ok,2
1030,杭,木，亢,,ok,2
1031,杰,木，灬,,ok,2
1032,述,术，辶,,ok,2
1033,枕,木，冘,,ok,2
1034,丧,丧,,ok,1
1035,或,或,,ok,1
1036,画,画,,ok,1
1037,卧,臣，卜,,ok,2
1038,事,事,,ok,1
1039,刺,朿，刂,,ok,2
1040,枣,朿，⺀,,ok,2
1041,雨,雨,,ok,1
1042,卖,十，买,,ok,2
1043,郁,有，阝,,ok,2
1044,矾,石，凡,,ok,2
1045,矿,石，广,,ok,2
1046,码,石，马,,ok,2
1047,厕,厂，则,,ok,2
1048,奈,大，示,,ok,2
1049,奔,大，卉,,ok,2
1050,奇,大，可,,ok,2
1051,奋,大，田,,ok,2
1052,态,太，心,,ok,2
1053,欧,区，欠,,ok,2
1054,殴,区，殳,,ok,2
1055,垄,龙，土,,ok,2
1056,妻,妻,,ok,1
1057,轰,车，双,,ok,2
1058,顷,匕b，页,,变,2
1059,转,车，专,,ok,2
1060,斩,车，斤,,ok,2
1061,轮,车，仑,,ok,2
1062,软,车，欠,,ok,2
1063,到,至，刂,,ok,2
1064,非,非,,ok,1
1065,叔,尗，又,,ok,2
1066,歧,止，支,,ok,2
1067,肯,止，月,,ok,2
1068,齿,齿,,ok,1
1069,些,此，二,,ok,2
1070,卓,卓,,ok,1
1071,虎,虍，几,,ok,2
1072,虏,虍，力,,ok,2
1073,肾（腎）,臤，月,,古,2
1074,贤（賢）,臤，贝,,古,2
1075,尚,尚,,ok,1
1076,旺,日，王,,ok,2
1077,具,具,,ok,1
1078,味,口，未,,ok,2
1079,果,果,,ok,1
1080,昆,日，比,,ok,2
1081,国,囗，玉,,ok,2
1082,哎,口，艾,,ok,2
1083,咕,口，古,,ok,2
1084,昌,日，日,,ok,2
1085,呵,口，可,,ok,2
1086,畅（暢）,申，昜,,古,2
1087,明,日，月,,ok,2
1088,易,日，勿,,ok,2
1089,咙,口，龙,,ok,2
1090,昂,日，卬,,ok,2
1091,迪,由，辶,,ok,2
1092,典,典,,ok,1
1093,固,囗，古,,ok,2
1094,忠,中，心,,ok,2
1095,呻,口，申,,ok,2
1096,咒,吅，几,,ok,2
1097,咋,口，乍,,ok,2
1098,咐,口，付,,ok,2
1099,呼,口，乎,,ok,2
1100,鸣,口，鸟,,ok,2
1101,咏,口，永,,ok,2
1102,呢,口，尼,,ok,2
1103,咄,口，出,,ok,2
1104,咖,口，加,,ok,2
1105,岸,山，厂，干,,ok,3
1106,岩,山，石,,ok,2
1107,帖,巾，占,,ok,2
1108,罗,罒，夕,,ok,2
1109,帜,巾，只,,ok,2
1110,帕,巾，白,,ok,2
1111,岭,山，令,,ok,2
1112,凯,山，己b，几,,变,3
1113,败,贝，攵,,ok,2
1114,账,贝，长,,ok,2
1115,贩,贝，反,,ok,2
1116,贬,贝，乏,,ok,2
1117,购,贝，勾,,ok,2
1118,贮,贝，㝉,,ok,2
1119,图,囗，冬,,ok,2
1120,钓,钅，勺,,ok,2
1121,制,牛，冂，刂,,ok,3
1122,知,矢，口,,ok,2
1123,迭,失，辶,,ok,2
1124,氛,气，分,,ok,2
1125,垂,垂,,ok,1
1126,牧,木，攵,,ok,2
1127,物,牜，勿,,ok,2
1128,乖,千，北,,ok,2
1129,刮,舌，刂,,ok,2
1130,秆,禾，干,,ok,2
1131,和,禾，口,,ok,2
1132,季,禾，子,,ok,2
1133,委,禾，女,,ok,2
1134,秉,禾，彐,,ok,2
1135,佳,亻，圭,,ok,2
1136,侍,亻，寺,,ok,2
1137,岳,丘，山,,ok,2
1138,供,亻，共,,ok,2
1139,使,亻，吏,,ok,2
1140,例,亻，列,,ok,2
1141,侠,亻，夹,,ok,2
1142,侥,亻，尧,,ok,2
1143,版,片，反,,ok,2
1144,侄,亻，至,,ok,2
1145,侦,亻，贞,,ok,2
1146,侣,亻，吕,,ok,2
1147,侧,亻，则,,ok,2
1148,凭,任，几,,ok,2
1149,侨,亻，乔,,ok,2
1150,佩,亻，凡，巾,,ok,3
1151,货,化，贝,,ok,2
1152,侈,亻，多,,ok,2
1153,依,亻，衣,,ok,2
1154,卑,卑,,ok,1
1155,的,白，勺,,ok,2
1156,迫,白，辶,,ok,2
1157,质（質）,斦，贝,,ok,2
1158,欣,斤，欠,,ok,2
1159,征,彳，正,,ok,2
1160,往,彳，主,,ok,2
1161,爬,爪，巴,,ok,2
1162,彼,彳，皮,,ok,2
1163,径（徑）,彳，巠,,古,2
1164,所,户b，斤,,变,2
1165,舍,舍,,ok,1
1166,金,金,,ok,1
1167,刹,杀，刂,,ok,2
1168,命,命,,ok,1
1169,肴,㐅，有,,ok,2
1170,斧,父，斤,,ok,2
1171,爸,父，巴,,ok,2
1172,采,爫，木,,ok,2
1173,觅,爫，见,,ok,2
1174,受,爫，冖，又,,ok,3
1175,乳,孚，乚,,ok,2
1176,贪,今，贝,,ok,2
1177,念,今，心,,ok,2
1178,贫,分，贝,,ok,2
1179,忿,分，心,,ok,2
1180,肤,月，夫,,ok,2
1181,肺,月，巿,,ok,2
1182,肢,月，支,,ok,2
1183,肿,月，中,,ok,2
1184,胀,月，长,,ok,2
1185,朋,月，月,,ok,2
1186,股,月，殳,,ok,2
1187,肮,月，亢,,ok,2
1188,肪,月，方,,ok,2
1189,肥,月，巴,,ok,2
1190,服,月，𠬝,,ok,2
1191,胁,月，办,,ok,2
1192,周,周,,ok,1
1193,昏,氏，日,,ok,2
1194,鱼,鱼,,ok,1
1195,兔,兔,,ok,1
1196,狐,犭，瓜,,ok,2
1197,忽,勿，心,,ok,2
1198,狗,犭，句,,ok,2
1199,狞,犭，宁,,ok,2
1200,备,夂，田,,ok,2
1201,饰,饣，𠂉，巾,,ok,3
1202,饱,饣，包,,ok,2
1203,饲,饣，司,,ok,2
1204,变（變）,䜌，又,,ok,2
1205,京,亠，口，小,,ok,3
1206,享,亠，口，子,,ok,3
1207,庞,广，龙,,ok,2
1208,店,广，占,,ok,2
1209,夜,夜,,ok,1
1210,庙,广，酉,,ok,2
1211,府,广，付,,ok,2
1212,底,广，氐,,ok,2
1213,疟,疒，匚，一,,ok,3
1214,疙,疒，乞,,ok,2
1215,疚,疒，久,,ok,2
1216,剂,齐，刂,,ok,2
1217,卒,卒,,ok,1
1218,郊,交，阝,,ok,2
1219,庚,庚,,ok,1
1220,废,广，发,,ok,2
1221,净,冫，争,,ok,2
1222,盲,亡，目,,ok,2
1223,放,方，攵,,ok,2
1224,刻,亥，刂,,ok,2
1225,育,𠫓，月,,ok,2
1226,氓,亡，民,,ok,2
1227,闸,门，甲,,ok,2
1228,闹,门，市,,ok,2
1229,郑,关，阝,,ok,2
1230,券,龹，刀,,ok,2
1231,卷,龹，㔾,,ok,2
1232,单,单,,ok,1
1233,炬,火，巨,,ok,2
1234,炒,火，少,,ok,2
1235,炊,火，欠,,ok,2
1236,炕,火，亢,,ok,2
1237,炎,火，火,,ok,2
1238,炉,火，户,,ok,2
1239,沫,氵，末,,ok,2
1240,浅,氵，戋,,ok,2
1241,法,氵，去,,ok,2
1242,泄,氵，世,,ok,2
1243,沽,氵，古,,ok,2
1244,河,氵，可,,ok,2
1245,沾,氵，占,,ok,2
1246,沮,氵，且,,ok,2
1246,泪,氵，目,,ok,2
1248,油,氵，由,,ok,2
1249,泊,氵，白,,ok,2
1250,沿,氵，㕣b,,变,2
1251,泡,氵，包,,ok,2
1252,注,氵，主,,ok,2
1253,泣,氵，立,,ok,2
1254,泞,氵，宁,,ok,2
1255,泻,氵，写,,ok,2
1256,泌,氵，必,,ok,2
1257,泳,氵，永,,ok,2
1258,泥,氵，尼,,ok,2
1259,沸,氵，弗,,ok,2
1260,沼,氵，召,,ok,2
1261,波,氵，皮,,ok,2
1262,泼,氵，发,,ok,2
1263,泽,氵，睪,,ok,2
1264,治,氵，台,,ok,2
1265,怔,忄，正,,ok,2
1266,怯,忄，去,,ok,2
1267,怖,忄，布,,ok,2
1268,性,忄，生,,ok,2
1269,怕,忄，白,,ok,2
1270,怜,忄，令,,ok,2
1271,怪,忄，圣,,ok,2
1272,怡,忄，台,,ok,2
1273,学,⺍，冖，子,,ok,3
1274,宝,宀，玉,,ok,2
1275,宗,宀，示,,ok,2
1276,定,宀，正b,,变,2
1277,宠,宀，龙,,ok,2
1278,宜,宀，且,,ok,2
1279,审,宀，申,,ok,2
1280,宙,宀，由,,ok,2
1281,官,宀，㠯,,ok,2
1282,空,穴，工,,ok,2
1283,帘,穴，巾,,ok,2
1284,宛,宀，夗,,ok,2
1285,实,宀，头,,ok,2
1286,试,讠，式,,ok,2
1287,郎,良b，阝,,变,2
1288,诗,讠，寺,,ok,2
1289,肩,户，月,,ok,2
1290,房,户，方,,ok,2
1291,诚,讠，成,,ok,2
1292,衬,衤，寸,,ok,2
1293,衫,衤，彡,,ok,2
1294,视,礻，见,,ok,2
1295,祈,礻，斤,,ok,2
1296,话,讠，舌,,ok,2
1297,诞,讠，延,,ok,2
1298,诡,讠，危,,ok,2
1299,询,讠，旬,,ok,2
1300,该,讠，亥,,ok,2
1301,详,讠，羊,,ok,2
1302,建,廴，聿,,ok,2
1303,肃,肃,,ok,1
1304,录,录,,ok,1
1305,隶,隶,,ok,1
1306,帚,彐，冖，巾,,ok,3
1307,屉,尸，世,,ok,2
1308,居,尸，古,,ok,2
1309,届,尸，由,,ok,2
1310,刷,尸，巾，刂,,ok,3
1311,屈,尸，出,,ok,2
1312,弧,弓，瓜,,ok,2
1313,弥,弓，尔,,ok,2
1314,弦,弓，玄,,ok,2
1315,承,承,,ok,1
1316,孟,子，皿,,ok,2
1317,陋,阝，丙，𠃊,,ok,3
1318,陌,阝，百,,ok,2
1319,孤,子，瓜,,ok,2
1320,陕,阝，夹,,ok,2
1321,降,阝，夅,,ok,2
1322,函,函,,ok,1
1323,限,阝，艮,,ok,2
1324,妹,女，未,,ok,2
1325,姑,女，古,,ok,2
1326,姐,女，且,,ok,2
1327,姓,女，生,,ok,2
1328,妮,女，尼,,ok,2
1329,始,女，台,,ok,2
1330,姆,女，母,,ok,2
1331,迢,召，辶,,ok,2
1332,驾,加，马,,ok,2
1333,叁,厶，大，三,,ok,3
1334,参,厶，大，彡,,ok,3
1335,艰,又，艮,,ok,2
1336,线,纟，戋,,ok,2
1337,练（練）,纟，柬,,古,2
1338,组,纟，且,,ok,2
1339,绅,纟，申,,ok,2
1340,细,纟，田,,ok,2
1341,驶,马，史,,ok,2
1342,织,纟，只,,ok,2
1343,驹,马，句,,ok,2
1344,终,纟，冬,,ok,2
1345,驻,马，主,,ok,2
1346,绊,纟，半,,ok,2
1347,驼,马，它,,ok,2
1348,绍,纟，召,,ok,2
1349,绎（繹）,纟，睪,,古,2
1350,经（經）,纟，巠,,古,2
1351,贯,毌，贝,,ok,2
1352,契,㓞，大,,ok,2
1353,贰,弍，贝,,ok,2
1354,奏,，天,,ok,2
1355,春,，日,,ok,2
1356,帮,邦，巾,,ok,2
1357,玷,王，占,,ok,2
1358,珍,王，㐱,,ok,2
1359,玲,王，令,,ok,2
1360,珊,王，册,,ok,2
1361,玻,王，皮,,ok,2
1362,毒,龶，母,,ok,2
1363,型,刑，土,,ok,2
1364,拭,扌，式,,ok,2
1365,挂,扌，圭,,ok,2
1366,封,圭，寸,,ok,2
1367,持,扌，寺,,ok,2
1368,拷,扌，考,,ok,2
1369,拱,扌，共,,ok,2
1370,项,工，页,,ok,2
1371,垮,土，夸,,ok,2
1372,挎,扌，夸,,ok,2
1373,城,土，成,,ok,2
1374,挟,扌，夹,,ok,2
1375,挠,扌，尧,,ok,2
1376,政,正，攵,,ok,2
1377,赴,走，卜,,ok,2
1378,赵,走，㐅,,ok,2
1379,挡,扌，当,,ok,2
1380,拽,扌，曳,,ok,2
1381,哉,𢦏，口,,ok,2
1382,挺,扌，廷,,ok,2
1383,括,扌，舌,,ok,2
1384,垢,土，后,,ok,2
1385,拴,扌，全,,ok,2
1386,拾,扌，合,,ok,2
1387,挑,扌，兆,,ok,2
1388,垛,土，朵,,ok,2
1389,指,扌，旨,,ok,2
1390,垫,执，土,,ok,2
1391,挣,扌，争,,ok,2
1392,挤,扌，齐,,ok,2
1393,拼,扌，并,,ok,2
1394,挖,扌，穵,,ok,2
1395,按,扌，安,,ok,2
1396,挥,扌，军,,ok,2
1397,挪,扌，那,,ok,2
1398,拯,扌，丞,,ok,2
1399,某,甘，木,,ok,2
1400,甚,甚,,ok,1
1401,荆,艹，开，刂,,ok,3
1402,茸,艹，耳,,ok,2
1403,革,革,,ok,1
1404,茬,艹，在,,ok,2
1405,荐,艹，存,,ok,2
1406,巷,共，巳,,ok,2
1407,带（帶）,带,,ok,1
1408,草,艹，早,,ok,2
1409,茧,艹，虫,,ok,2
1410,茵,艹，因,,ok,2
1411,茶,艹，人，朩,,ok,3
1412,荒,艹，巟,,ok,2
1413,茫,艹，氵，亡,,ok,3
1414,荡,艹，汤,,ok,2
1415,荣（榮）,𤇾，木,,古,2
1416,荤,艹，军,,ok,2
1417,荧（熒）,𤇾，火,,古,2
1418,故,古，攵,,ok,2
1419,胡,古，月,,ok,2
1420,荫,艹，阴,,ok,2
1421,荔,艹，力，力，力,,ok,4
1422,南,南,,ok,1
1423,药,艹，约,,ok,2
1424,标,木，示,,ok,2
1425,栈,木，戋,,ok,2
1426,柑,木，甘,,ok,2
1427,枯,木，古,,ok,2
1428,柄,木，丙,,ok,2
1429,栋,木，东,,ok,2
1430,相,木，目,,ok,2
1431,查,木，旦,,ok,2
1432,柏,木，白,,ok,2
1433,栅,木，册,,ok,2
1434,柳,木，卯,,ok,2
1435,柱,木，主,,ok,2
1436,柿,木，市,,ok,2
1437,栏,木，兰,,ok,2
1438,柠,木，宁,,ok,2
1439,树,木，对,,ok,2
1440,勃,孛，力,,ok,2
1441,要,覀，女,,ok,2
1442,柬,柬,,ok,1
1443,咸,咸,,ok,1
1444,威,戌，女,,ok,2
1445,歪,不，正,,ok,2
1446,研,石，开,,ok,2
1447,砖,石，专,,ok,2
1448,厘,厂，里,,ok,2
1449,厚,厂，㫗,,ok,2
1450,砌,石，切,,ok,2
1451,砂,石，少,,ok,2
1452,泵,石，水,,ok,2
1453,砚,石，见,,ok,2
1454,砍,石，欠,,ok,2
1455,面,面,,ok,1
1456,耐,耐，寸,,ok,2
1457,耍,而，女,,ok,2
1458,牵,大，冖，牛,,ok,3
1459,鸥,区，鸟,,ok,2
1460,残,歹，戋,,ok,2
1461,殃,歹，央,,ok,2
1462,轴,车，由,,ok,2
1463,轻（輕）,车，巠,,古,2
1464,鸦,牙，鸟,,ok,2
1465,皆,比，白,,ok,2
1466,韭,韭,,ok,1
1467,背,北，月,,ok,2
1468,战,占，戈,,ok,2
1469,点,占，灬,,ok,2
1470,虐,虍，匚，一,,ok,3
1471,临（臨）,臣，𠂉，品,,ok,3
1472,览（覽）,监b，见,,变,2
1473,竖（竪）,臤，立,,古,2
1474,省,少，目,,ok,2
1475,削,肖，刂,,ok,2
1476,尝,龸，云,,ok,2
1477,昧,日，未,,ok,2
1478,盹,目，屯,,ok,2
1479,是,是,,ok,1
1480,盼,目，分,,ok,2
1481,眨,目，乏,,ok,2
1482,哇,口，圭,,ok,2
1483,哄,口，共,,ok,2
1484,哑,口，亚,,ok,2
1485,显,曰，业,,ok,2
1486,冒,⺜，目,,ok,2
1487,映,日，央,,ok,2
1488,星,日，生,,ok,2
1489,昨,日，乍,,ok,2
1490,咧,口，列,,ok,2
1491,昭,日，召,,ok,2
1492,畏,畏,,ok,1
1493,趴,⻊，八,,ok,2
1494,胃,田，月,,ok,2
1495,贵,贵,,ok,1
1496,界,田，介,,ok,2
1497,虹,虫，工,,ok,2
1498,虾,虫，下,,ok,2
1499,蚁,虫，义,,ok,2
1500,思,田，心,,ok,2
1501,蚂,虫，马,,ok,2
1502,虽,口，虫,,ok,2
1503,品,吅，口,,ok,2
1504,咽,口，因,,ok,2
1505,骂,吅，马,,ok,2
1506,勋,员，力,,ok,2
1507,哗,口，华,,ok,2
1508,咱,口，自,,ok,2
1509,响,口，向,,ok,2
1510,哈,口，合,,ok,2
1511,哆,口，多,,ok,2
1512,咬,口，交,,ok,2
1513,咳,口，亥,,ok,2
1514,咪,口，米,,ok,2
1515,哪,口，那,,ok,2
1516,哟,口，约,,ok,2
1517,炭,山，灰,,ok,2
1518,峡,山，夹,,ok,2
1519,罚,罒，讠，刂,,ok,3
1520,贱,贝，戋,,ok,2
1521,贴,贝，占,,ok,2
1522,贻,贝，台,,ok,2
1523,骨,骨,,ok,1
1524,幽,山，幺，幺,,ok,3
1525,钙,钅，丐,,ok,2
1526,钝,钅，屯,,ok,2
1527,钞,钅，少,,ok,2
1528,钟,钅，中,,ok,2
1529,钢,钅，冈,,ok,2
1530,钠,钅，内,,ok,2
1531,钥,钅，月,,ok,2
1532,钦,钅，欠,,ok,2
1533,钧,钅，匀,,ok,2
1534,钩,钅，勾,,ok,2
1535,钮,钅，丑,,ok,2
1536,卸,𦈢，卩,,ok,2
1537,缸,缶，工,,ok,2
1538,拜,龵，一，丰,,ok,3
1539,看,龵，目,,ok,2
1540,矩,矢，巨,,ok,2
1541,毡,毛，占,,ok,2
1542,氢（氫）,气，巠,,古,2
1543,怎,乍，心,,ok,2
1544,牲,牜，生,,ok,2
1545,选,先，辶,,ok,2
1546,适,舌，辶,,ok,2
1547,秒,禾，少,,ok,2
1548,香,禾，日,,ok,2
1549,种,禾，中,,ok,2
1550,秋,禾，火,,ok,2
1551,科,禾，斗,,ok,2
1552,重,重,,ok,1
1553,复,复,,ok,1
1554,竿,⺮，干,,ok,2
1555,段,段,,ok,1
1556,便,亻，更,,ok,2
1557,俩,亻，两,,ok,2
1558,贷,代，贝,,ok,2
1559,顺,川，页,,ok,2
1560,修,亻，丨，夂，彡,,ok,4
1561,俏,亻，肖,,ok,2
1562,保,亻，呆,,ok,2
1563,促,亻，足,,ok,2
1564,俄,亻，我,,ok,2
1565,俐,亻，利,,ok,2
1566,侮,亻，每,,ok,2
1567,俭,亻，佥,,ok,2
1568,俗,亻，谷,,ok,2
1569,俘,亻，孚,,ok,2
1570,信,亻，言,,ok,2
1571,皇,白，王,,ok,2
1572,泉,白，水,,ok,2
1573,鬼,鬼,,ok,1
1574,侵,亻，彐，冖，又,,ok,4
1575,禹,禹,,ok,1
1576,侯（矦）,亻，厂，矢,,古,3
1577,追,𠂤，辶,,ok,2
1578,俊,亻，夋,,ok,2
1579,盾,盾,,ok,1
1580,待,彳，寺,,ok,2
1581,徊,彳，回,,ok,2
1582,衍,行，氵,,ok,2
1583,律,彳，聿,,ok,2
1584,很,彳，艮,,ok,2
1585,须,彡，页,,ok,2
1586,叙,余，又,,ok,2
1587,剑,佥，刂,,ok,2
1588,逃,兆，辶,,ok,2
1589,食,食,,ok,1
1590,盆,分，皿,,ok,2
1591,胚,月，丕,,ok,2
1592,胧,月，龙,,ok,2
1593,胆,月，旦,,ok,2
1594,胜,月，生,,ok,2
1595,胞,月，包,,ok,2
1596,胖,月，半,,ok,2
1597,脉,月，永,,ok,2
1598,胎,月，台,,ok,2
1599,勉,免，力,,ok,2
1600,狭,犭，夹,,ok,2
1601,狮,犭，师,,ok,2
1602,独,犭，虫,,ok,2
1603,狰,犭，争,,ok,2
1604,狡,犭，交,,ok,2
1605,狱,犭，讠，犬,,ok,3
1606,狠,犭，艮,,ok,2
1607,贸,卯b，贝,,变,2
1608,怨,夗，心,,ok,2
1609,急,刍，心,,ok,2
1610,饵,饣，耳,,ok,2
1611,饶,饣，尧,,ok,2
1612,蚀,饣，虫,,ok,2
1613,饺,饣，交,,ok,2
1614,饼,饣，并,,ok,2
1615,峦（巒）,䜌，山,,ok,2
1616,弯（彎）,䜌，弓,,ok,2
1617,将,丬，夕，寸,,ok,3
1618,奖,丬，夕，大,,ok,3
1619,哀,衣，口,,ok,2
1620,亭,高s，丁,,省,2
1621,亮,高s，几,,省,2
1622,度,庶s，又,,省,2
1623,迹,亦，辶,,ok,2
1624,庭,疒，廷,,ok,2
1625,疮,疒，仓,,ok,2
1626,疯,疒，风,,ok,2
1627,疫,疒，殳,,ok,2
1628,疤,疒，巴,,ok,2
1629,咨,次，口,,ok,2
1630,姿,次，女,,ok,2
1631,亲,亲,,ok,1
1632,音,音,,ok,1
1633,帝,帝,,ok,1
1634,施,㫃，也,,ok,2
1635,闺,门，圭,,ok,2
1636,闻,门，耳,,ok,2
1637,闽,门，虫,,ok,2
1638,阀,门，伐,,ok,2
1639,阁,门，各,,ok,2
1640,差,⺶，工,,ok,2
1641,养（養）,羊，食,,古,2
1642,美,⺷，大,,ok,2
1643,姜,⺷，女,,ok,2
1644,叛,半，反,,ok,2
1645,送,关，辶,,ok,2
1646,类,米，大,,ok,2
1647,迷,米，辶,,ok,2
1648,籽,米，子,,ok,2
1649,娄,米，女,,ok,2
1650,前,前,,ok,1
1651,首,首,,ok,1
1652,逆,屰，辶,,ok,2
1653,兹,兹,,ok,1
1654,总,总,,ok,1
1655,炼（煉）,火，柬,,ok,2
1656,炸,火，乍,,ok,2
1657,烁,火，乐,,ok,2
1658,炮,火，包,,ok,2
1659,炫,火，玄,,ok,2
1660,烂,火，兰,,ok,2
1661,剃,弟，刂,,ok,2
1662,洼,氵，圭,,ok,2
1663,洁,氵，吉,,ok,2
1664,洪,氵，共,,ok,2
1665,洒,氵，西,,ok,2
1666,柒,氵，七，木,,ok,3
1667,浇,氵，尧,,ok,2
1668,浊,氵，虫,,ok,2
1669,洞,氵，同,,ok,2
1670,测,氵，则,,ok,2
1671,洗,氵，先,,ok,2
1672,活,氵，舌,,ok,2
1673,派,氵，𠂢b,,变,2
1674,洽,氵，合,,ok,2
1675,染,氵，九，木,,ok,3
1676,洛,氵，各,,ok,2
1677,浏,氵，刘,,ok,2
1678,济,氵，齐,,ok,2
1679,洋,氵，羊,,ok,2
1680,洲,氵，州,,ok,2
1681,浑,氵，军,,ok,2
1682,浓,氵，农,,ok,2
1683,津,氵，聿,,ok,2
1684,恃,忄，寺,,ok,2
1685,恒,忄，亘,,ok,2
1686,恢,忄，灰,,ok,2
1687,恍,忄，光,,ok,2
1688,恬,忄，舌,,ok,2
1689,恤,忄，血,,ok,2
1690,恰,忄，合,,ok,2
1691,恼（惱）,忄，巛，囟,,古,3
1692,恨,忄，艮,,ok,2
1693,举（擧）,與，手,,古,2
1694,觉,⺍，冖，见,,ok,3
1695,宣,宀，亘,,ok,2
1696,宦,宀，臣,,ok,2
1697,室,宀，至,,ok,2
1698,宫,宀，吕,,ok,2
1699,宪,宀，先,,ok,2
1700,突,穴，犬,,ok,2
1701,穿,穴，牙,,ok,2
1702,窃,穴，切,,ok,2
1703,客,宀，各,,ok,2
1704,诫,讠，戒,,ok,2
1705,冠,冖，元，寸,,ok,3
1706,诬,讠，巫,,ok,2
1707,语,讠，吾,,ok,2
1708,扁,扁,,ok,1
